libelle_departement,HT22,HT022,HT122,HT222,HT322,HT422,HT522,HTCH22,HTCH022,HTCH122,HTCH222,HTCH322,HTCH422,HTCH522,CPG22,CPG022,CPG122,CPG222,CPG322,CPG422,CPG522,CPGE22,CPGE022,CPGE122,CPGE222,CPGE322,CPGE422,CPGE522,CPGEL22,CPGEL022,CPGEL122,CPGEL222,CPGEL322,CPGEL422,CPGEL522,CPGEO22,CPGEO022,CPGEO122,CPGEO222,CPGEO322,CPGEO422,CPGEO522,VV22,VVUH22,VVLIT22,RT22,RTUH22,RTLIT22,AJCS22,AJCSUH22,AJCSLIT22,PMUN19,PMUN18,PMUN17,PMUN16,PMUN15,PMUN14,PMUN13,PMUN12,PMUN11,PMUN10,PMUN09,PMUN08,PMUN07,PMUN06,PSDC99,PSDC90,PSDC82,PSDC75,PSDC68,PSDC62,PTOT54,PTOT36,PTOT1931,PTOT1926,PTOT1921,PTOT1911,PTOT1906,PTOT1901,PTOT1896,PTOT1891,PTOT1886,PTOT1881,PTOT1876
Seine-Maritime,229,82,9,54,65,18,1,8210,1844,274,1798,2981,1235,78,70,13,3,19,26,9,0,6468,424,95,1666,3045,1238,0,1933,99,33,597,768,436,0,4535,325,62,1069,2277,802,0,2,132,687,8,420,1122,6,211,661,1255633,1255883,1254378,1255755,1257699,1257920,1254609,1253931,1251282,1250411,1250120,1248580,1244611,1243834,1239138,1223429,1193108,1172743,1113977,1035843,941684.0,915611.0,905278.0,885299.0,880671.0,877383.0,863879.0,853883.0,837824.0,839876.0,833386.0,814068.0,798414.0
Seine-Saint-Denis,98,25,0,18,36,19,0,11298,1389,0,1862,4676,3371,0,1,1,0,0,0,0,0,220,220,0,0,0,0,0,0,0,0,0,0,0,0,220,220,0,0,0,0,0,0,0,0,8,645,1500,1,68,196,1644903,1632677,1623111,1606660,1592663,1571028,1552482,1538726,1529928,1522048,1515983,1506466,1502340,1491970,1382861,1381197,1324301,1322127,1249606,1083724,845231.0,776378.0,769315.0,635806.0,504956.0,411443.0,349545.0,307329.0,262735.0,230992.0,207901.0,180412.0,138099.0
Seine-et-Marne,130,30,5,22,49,23,1,14658,1266,404,2683,5446,4363,496,45,13,7,7,13,4,1,6193,984,545,749,2789,878,248,2494,643,402,457,820,164,8,3699,341,143,292,1969,714,240,1,21,125,19,3061,12380,3,137,480,1421197,1412516,1403997,1397665,1390121,1377846,1365200,1353946,1338427,1324865,1313414,1303702,1289524,1273488,1193767,1078166,887112,755762,604340,524486,453438.0,409311.0,406108.0,380017.0,349234.0,363561.0,361939.0,358325.0,359034.0,356709.0,355136.0,348991.0,347323.0
Somme,91,24,4,25,32,6,0,3019,490,165,798,1206,360,0,130,27,8,47,22,23,3,15614,1697,373,4464,3787,4313,980,9840,1178,338,2971,2120,2664,569,5774,519,35,1493,1667,1649,411,0,0,0,11,920,4327,5,257,909,570559,570662,572443,572744,571879,571632,571675,571154,571211,570741,569775,568086,565910,564319,555551,547825,544570,538462,511491,487524,463519.0,467092.0,465842.0,473105.0,451887.0,518961.0,531541.0,536773.0,542158.0,545365.0,547721.0,549515.0,555263.0
Tarn,76,28,0,19,22,6,1,1873,492,0,452,737,172,20,58,12,2,10,23,11,0,2950,326,61,372,1363,828,0,193,39,0,19,46,89,0,2757,287,61,353,1317,739,0,2,62,286,7,246,1003,1,9,18,389844,388596,387890,386448,386543,384474,381927,378947,377675,375379,374018,371738,369189,365335,343402,342723,339345,338024,332011,319560,308197.0,297871.0,302994.0,301717.0,295588.0,324090.0,330533.0,332093.0,339369.0,346739.0,358757.0,359223.0,359232.0
Tarn-et-Garonne,42,11,1,15,13,2,0,1223,214,71,344,434,160,0,37,9,1,8,16,3,0,2015,406,7,343,1034,225,0,128,20,0,20,78,10,0,1887,386,7,323,956,215,0,1,36,182,2,143,556,0,0,0,260669,259124,258349,256897,255274,252578,250342,246971,244545,241698,239291,235915,231763,226849,206034,200220,190485,183314,183572,175847,172379.0,164629.0,164259.0,164191.0,159559.0,182537.0,188553.0,195669.0,200390.0,206596.0,214046.0,217056.0,221364.0
Territoire de Belfort,21,4,1,2,10,4,0,1010,134,68,133,426,249,0,3,0,0,1,2,0,0,286,0,0,90,196,0,0,14,0,0,14,0,0,0,272,0,0,76,196,0,0,1,23,65,1,18,18,1,5,19,141318,141852,142622,144089,144483,144334,144318,143940,143348,142911,142461,141958,142444,141201,137408,134097,131999,128125,118450,109371,99427.0,99497.0,99403.0,96593.0,94338.0,101386.0,95421.0,92304.0,88047.0,83670.0,79758.0,74244.0,61377.0
Val-d'Oise,99,33,1,17,25,23,0,10248,1675,83,1629,2280,4581,0,5,2,0,2,0,1,0,593,306,0,190,0,97,0,238,116,0,122,0,0,0,355,190,0,68,0,97,0,0,0,0,8,1109,3203,0,0,0,1249674,1238581,1228618,1221923,1215390,1205539,1194681,1187081,1180365,1171161,1168892,1165397,1160721,1157052,1105464,1049598,920598,840885,693269,548429,412658.0,350487.0,353374.0,283256.0,227220.0,196599.0,178444.0,164962.0,154118.0,143387.0,143028.0,134859.0,129655.0
Val-de-Marne,88,15,1,25,35,12,0,7581,680,7,1970,3238,1686,0,1,0,0,0,0,1,0,373,0,0,0,0,373,0,0,0,0,0,0,0,0,373,0,0,0,0,373,0,0,0,0,22,2419,5533,1,195,485,1407124,1396913,1387926,1378151,1372389,1365039,1354005,1341831,1333702,1327732,1318537,1310876,1302889,1298340,1227250,1215538,1193655,1215713,1121319,974962,767435.0,685204.0,657322.0,559870.0,462200.0,386073.0,330308.0,288879.0,246351.0,213706.0,194926.0,161607.0,136600.0
Var,432,104,8,87,147,55,31,12763,1847,222,2486,4533,2353,1322,232,21,10,45,64,78,14,41809,1165,812,5165,7860,18223,8584,9490,154,634,1301,1978,3720,1703,32319,1011,178,3864,5882,14503,6881,56,5638,21887,89,7099,33468,7,238,867,1076711,1067697,1058740,1055821,1048652,1038212,1028583,1021669,1012735,1008183,1007303,1001408,995934,985099,898441,815449,708331,626093,555926,469557,413012.0,398662.0,377104.0,347932.0,322944.0,330755.0,324639.0,326385.0,309191.0,288336.0,283689.0,288577.0,295762.0
Vaucluse,223,50,4,47,86,27,9,7049,1016,205,1341,2681,1442,364,81,13,1,23,22,16,6,8533,936,35,1520,2274,2824,944,469,131,0,54,90,37,157,8064,805,35,1466,2184,2787,787,8,375,1156,25,1721,6752,4,124,466,561469,559793,559479,559014,557548,554374,549949,546314,546630,543105,540065,538902,538141,534291,499685,467075,427343,390446,353966,303536,268318.0,245508.0,241689.0,230549.0,219602.0,238656.0,239178.0,236949.0,236313.0,235411.0,241787.0,244149.0,255703.0
Vendée,169,43,0,47,69,9,1,4988,659,0,1184,2685,433,27,360,33,17,66,101,119,24,56824,919,938,5713,14145,25383,9726,17327,64,100,1547,4687,8605,2324,39497,855,838,4166,9458,16778,7402,33,1794,7226,36,2348,11768,2,50,186,684777,679327,674587,669939,666043,661438,654803,648184,640917,633950,625495,615905,606429,596177,538759,508471,482334,449943,420663,408392,395251.0,391693.0,390094.0,395316.0,397016.0,438210.0,442456.0,441010.0,441438.0,442061.0,434521.0,421357.0,411498.0
Vienne,95,32,3,21,33,6,0,4827,763,540,815,2091,618,0,46,9,3,20,9,5,0,2953,441,150,918,624,820,0,53,30,2,11,10,0,0,2900,411,148,907,614,820,0,2,82,403,7,1190,5668,3,141,474,438435,437586,436876,436069,434887,433203,431248,430018,428447,427193,426066,424354,421891,418460,399024,380005,371428,357366,340256,331619,319208.0,306820.0,303072.0,310474.0,306248.0,332276.0,333621.0,336343.0,338114.0,344355.0,342785.0,340295.0,330916.0
Vosges,146,61,3,37,35,10,0,3323,940,56,675,1198,454,0,78,28,1,21,18,9,1,5563,1064,45,1162,1523,1652,117,648,60,0,81,70,435,2,4915,1004,45,1081,1453,1217,115,13,1008,2886,10,281,1203,4,151,421,364499,366112,367673,369641,372016,373560,375226,377282,378830,379724,380192,380145,380304,379975,380952,386258,395769,397957,388201,380676,372523.0,376926.0,377980.0,382100.0,383684.0,433914.0,429812.0,421101.0,421412.0,410196.0,413707.0,406862.0,407082.0
Yonne,95,40,2,19,29,3,2,2650,718,94,655,1008,137,38,37,11,0,12,11,3,0,2374,478,0,696,922,278,0,58,4,0,15,24,15,0,2316,474,0,681,898,263,0,3,93,285,1,33,33,2,31,85,335707,337504,338291,340544,340903,341814,341483,341902,342463,342510,343377,342359,341418,340088,333221,323096,311019,299851,283376,269826,266410.0,271685.0,275755.0,277230.0,273118.0,303889.0,315199.0,321062.0,332656.0,344688.0,355364.0,357029.0,359070.0
Yvelines,118,26,2,22,47,20,1,7029,1012,152,1089,2651,1926,199,15,4,3,3,4,1,0,1892,309,259,371,670,283,0,833,195,194,164,280,0,0,1059,114,65,207,390,283,0,0,0,0,17,1716,4148,1,32,107,1448207,1441398,1438266,1431808,1427291,1421670,1418484,1412356,1413635,1408765,1407560,1406053,1403957,1395804,1354304,1307150,1196111,1082255,854382,687827,519176.0,428166.0,408282.0,367267.0,321240.0,297562.0,277753.0,270228.0,263462.0,250552.0,247910.0,236471.0,235511.0
