libelle_departement,HT22,HT022,HT122,HT222,HT322,HT422,HT522,HTCH22,HTCH022,HTCH122,HTCH222,HTCH322,HTCH422,HTCH522,CPG22,CPG022,CPG122,CPG222,CPG322,CPG422,CPG522,CPGE22,CPGE022,CPGE122,CPGE222,CPGE322,CPGE422,CPGE522,CPGEL22,CPGEL022,CPGEL122,CPGEL222,CPGEL322,CPGEL422,CPGEL522,CPGEO22,CPGEO022,CPGEO122,CPGEO222,CPGEO322,CPGEO422,CPGEO522,VV22,VVUH22,VVLIT22,RT22,RTUH22,RTLIT22,AJCS22,AJCSUH22,AJCSLIT22,PMUN19,PMUN18,PMUN17,PMUN16,PMUN15,PMUN14,PMUN13,PMUN12,PMUN11,PMUN10,PMUN09,PMUN08,PMUN07,PMUN06,PSDC99,PSDC90,PSDC82,PSDC75,PSDC68,PSDC62,PTOT54,PTOT36,PTOT1931,PTOT1926,PTOT1921,PTOT1911,PTOT1906,PTOT1901,PTOT1896,PTOT1891,PTOT1886,PTOT1881,PTOT1876
Hautes-Pyrénées,259,67,8,59,100,24,1,12656,1573,181,1446,6416,2990,50,116,27,7,32,35,13,2,8521,1143,416,2097,2978,1759,128,1643,237,99,430,644,220,13,6878,906,317,1667,2334,1539,115,17,821,2767,53,2960,14046,7,191,779,229567,229191,228530,227829,228582,228950,228868,228854,229228,229458,229670,229079,228594,227736,222368,224759,227922,227222,225730,211433,203544.0,188604.0,189993.0,187875.0,185760.0,206105.0,209397.0,215546.0,218973.0,225861.0,234825.0,236474.0,238037.0
Hauts-de-Seine,185,21,1,35,83,43,2,15968,648,34,2579,5903,6271,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4426,11105,1,175,365,1624357,1619120,1609306,1603268,1601569,1597770,1591403,1586434,1581628,1572490,1561745,1549619,1544411,1536100,1428881,1391658,1387039,1438930,1461619,1381805,1118020.0,1019627.0,949231.0,820716.0,724261.0,614862.0,529496.0,467391.0,386737.0,332076.0,293386.0,254928.0,208482.0
Hérault,293,85,3,80,95,25,5,10651,1938,174,2477,4072,1807,183,228,26,8,39,67,69,19,48711,1257,562,5642,9227,23256,8767,10661,94,105,1459,2031,6133,839,38050,1163,457,4183,7196,17123,7928,21,2268,8878,75,5675,21621,5,133,588,1175623,1159220,1144892,1132481,1120190,1107398,1092331,1077627,1062036,1044558,1031974,1019798,1011207,1001041,896441,794603,706499,648202,591397,516658,471429.0,502043.0,514819.0,500575.0,488211.0,480484.0,482779.0,489077.0,469674.0,461651.0,439044.0,441527.0,445053.0
Ille-et-Vilaine,253,42,6,63,106,31,5,13884,792,221,1813,4215,6484,359,82,26,5,25,15,7,4,7775,814,146,1871,2082,1420,1442,1972,17,39,457,717,547,195,5803,797,107,1414,1365,873,1247,1,49,198,30,2119,6776,6,192,567,1079498,1069228,1060199,1051779,1042884,1032240,1019923,1007901,996439,988140,977449,967588,955846,945851,867533,798718,749764,702199,652722,614268,586812.0,565766.0,562558.0,561688.0,558574.0,608098.0,611902.0,613567.0,622039.0,626875.0,621384.0,615480.0,602713.0
Indre,55,20,1,17,14,3,0,1410,211,68,492,423,216,0,42,15,0,15,9,3,0,2158,499,0,676,836,147,0,89,4,0,6,79,0,0,2069,495,0,670,757,147,0,3,94,446,0,0,0,1,21,65,219316,220595,222232,223505,224200,226175,228091,228692,230175,231176,232268,232004,232799,232959,231139,237510,243191,248523,247178,251432,247436.0,245622.0,247912.0,255095.0,260535.0,287673.0,290216.0,288788.0,289207.0,292868.0,296147.0,287759.0,281248.0
Indre-et-Loire,188,36,9,53,62,26,2,5982,587,410,1452,2328,1134,71,58,14,2,16,17,8,1,5333,599,230,1099,2102,907,396,226,0,0,70,132,24,0,5107,599,230,1029,1970,883,396,4,218,908,13,1158,4240,3,110,352,610079,607760,606511,606223,604966,603924,600252,596937,593683,590515,588420,585406,583086,580312,554003,529345,506093,478597,437866,395206,364701.0,343445.0,335226.0,334486.0,327743.0,341205.0,337916.0,335541.0,337064.0,337298.0,340921.0,329160.0,324875.0
Isère,292,97,10,65,95,23,2,9568,2307,282,1857,3475,1559,88,112,33,6,15,42,13,3,8515,1086,454,757,3590,2258,370,1382,244,126,110,698,204,0,7133,842,328,647,2892,2054,370,19,1781,5903,58,3941,17607,8,256,1146,1271166,1263563,1258722,1252912,1251060,1243597,1235387,1224993,1215212,1206374,1197038,1188660,1178714,1169491,1094006,1016228,936771,860339,767678,677330,587975.0,540895.0,549739.0,529817.0,502031.0,531672.0,538309.0,544254.0,542920.0,547425.0,555845.0,555438.0,555191.0
Jura,92,34,1,14,37,6,0,1724,480,7,368,788,81,0,57,16,4,5,26,6,0,7268,955,340,265,3209,2499,0,704,108,28,12,182,374,0,6564,847,312,253,3027,2125,0,14,633,2220,3,107,247,2,89,380,259199,259746,260188,260517,260587,260681,260502,260932,261294,261534,261277,260740,258897,257399,250857,248759,242925,238856,233441,225584,220109.0,220704.0,229018.0,230598.0,228978.0,252609.0,257626.0,261179.0,266046.0,272933.0,281179.0,285175.0,288721.0
La Réunion,110,51,2,15,26,11,5,3549,833,26,423,1382,498,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,861210,855961,853659,852924,850727,842767,835103,833944,828581,821136,816364,808250,794107,781962,706300,597823,515814,476675,416525,349282,228061.0,9624.0,9912.0,10176.0,10224.0,11712.0,12120.0,12216.0,12480.0,12792.0,13152.0,13344.0,13584.0
Landes,171,52,3,55,51,9,1,4403,705,46,1478,1860,286,28,184,43,2,32,45,47,15,39819,1465,81,3849,8872,17713,7839,9776,153,0,1565,2667,4938,453,30043,1312,81,2284,6205,12775,7386,28,2785,12884,51,4326,18465,5,166,584,413690,410355,407444,405010,403234,400477,397226,392884,387929,384320,379341,373142,367492,362827,327334,311461,297424,288323,277381,260497,248945.0,251438.0,257186.0,263111.0,263937.0,288902.0,293397.0,291586.0,292884.0,297842.0,302266.0,301143.0,303508.0
Loir-et-Cher,114,24,3,33,44,9,1,3386,534,95,850,1468,392,47,44,8,0,11,15,6,4,5320,223,0,912,1804,950,1431,568,4,0,101,90,365,8,4752,219,0,811,1714,585,1423,4,302,1087,5,939,4442,6,201,697,329470,330248,331915,332769,333050,333567,332001,331656,331280,330079,327868,326599,326291,325182,314968,305937,296224,283690,267900,250745,239829.0,240913.0,241592.0,248099.0,251528.0,271231.0,276019.0,275538.0,278153.0,280358.0,279214.0,275713.0,272634.0
Loire,82,27,0,19,31,5,0,2821,608,0,672,1249,292,0,42,20,0,5,15,2,0,2331,611,0,303,1256,161,0,604,188,0,104,281,31,0,1727,423,0,199,975,130,0,1,63,324,6,274,637,1,40,120,765634,763441,762941,761997,759411,757305,756715,753763,749053,748947,746115,742076,740668,741269,728524,746288,739521,742396,722443,696348,653829.0,649616.0,664822.0,669216.0,637130.0,640549.0,643943.0,647634.0,625336.0,616227.0,603384.0,599837.0,590613.0
Loire-Atlantique,241,39,12,66,87,32,5,10304,689,415,2140,4184,2507,369,145,19,6,28,56,32,4,20052,816,278,2796,7172,7821,1169,6613,83,64,790,2635,2867,174,13439,733,214,2006,4537,4954,995,12,912,3365,62,4968,14454,3,110,323,1429272,1412502,1394909,1380852,1366358,1347735,1328774,1313473,1296526,1282219,1266544,1256040,1246967,1234325,1134551,1052466,995822,934882,862082,804268,734468.0,660272.0,652975.0,652459.0,650782.0,671108.0,667941.0,666165.0,647398.0,646570.0,645220.0,626818.0,614167.0
Loiret,137,37,1,32,55,10,2,4690,829,7,1162,2012,619,61,39,10,3,13,9,3,1,3316,616,147,798,1098,425,232,621,108,21,74,105,291,22,2695,508,126,724,993,134,210,1,12,58,5,382,874,1,26,50,680434,678845,678105,674330,673349,669737,665587,662297,659587,656105,653510,650769,647733,645325,618126,580612,535669,490189,430629,389854,360523.0,343865.0,342679.0,341225.0,337224.0,364061.0,364999.0,366660.0,371019.0,377718.0,374875.0,368526.0,360903.0
Lot,112,22,1,44,39,6,0,2279,278,18,833,965,185,0,111,24,3,20,46,17,1,7363,644,85,997,3293,2056,288,93,0,0,5,33,29,26,7270,644,85,992,3260,2027,262,19,599,2603,10,598,3102,2,72,151,174094,173929,173828,173347,173400,173648,173758,174346,174754,174578,173562,172796,171173,169531,160197,155816,154533,150778,151198,149929,147754.0,162572.0,166637.0,171776.0,176888.0,205770.0,216611.0,226720.0,240403.0,253884.0,271513.0,280271.0,276511.0
Lot-et-Garonne,60,16,1,14,24,4,1,1684,450,48,364,732,81,9,47,16,2,6,18,4,1,3000,601,85,271,1203,450,390,125,15,0,37,54,5,14,2875,586,85,234,1149,445,376,12,415,1855,11,871,3693,1,91,290,331271,331970,332842,332833,333417,333234,333180,332119,330866,331123,329697,326399,324170,322292,305380,305989,298522,292616,290592,275028,265549.0,252761.0,247500.0,246609.0,239972.0,268083.0,274610.0,278740.0,286377.0,295360.0,307437.0,312083.0,316920.0
Lozère,109,58,3,27,19,2,0,1941,827,74,513,482,45,0,94,40,4,24,25,1,0,5415,1570,142,1217,2372,114,0,272,148,0,54,70,0,0,5143,1422,142,1163,2302,114,0,27,781,4174,3,85,268,1,40,124,76604,76520,76601,76422,76309,76360,76607,76889,77156,77082,77163,76973,76880,76800,73509,72825,74294,74825,77258,81868,82391.0,98480.0,101859.0,104733.0,108822.0,122738.0,128016.0,128866.0,132151.0,135527.0,141264.0,143566.0,138101.0
Maine-et-Loire,140,33,2,34,54,16,1,4556,710,133,977,1958,768,10,74,21,5,20,15,12,1,4792,448,167,1012,1116,1795,254,125,27,0,5,25,67,1,4667,421,167,1007,1091,1728,253,3,43,168,7,462,1318,3,106,297,818273,815883,813493,810934,809055,804745,800037,795405,790181,784643,779896,774654,770608,766419,732657,705599,674997,629466,584933,556173,518153.0,477561.0,475799.0,477489.0,474399.0,507685.0,513035.0,514242.0,514406.0,518075.0,527122.0,523057.0,516835.0
Manche,160,59,3,41,48,8,1,4011,812,67,1055,1587,483,7,139,41,5,33,38,14,8,14913,1245,446,3793,5141,2469,1819,6209,264,87,1903,2316,1317,322,8704,981,359,1890,2825,1152,1497,6,442,1788,4,158,406,6,121,478,495045,495983,496883,498362,499824,500501,500465,499890,500084,499285,498289,497462,495676,493087,481983,480123,466482,452275,452705,447679,447758.0,439535.0,434474.0,432364.0,426461.0,477088.0,488455.0,492440.0,501153.0,514979.0,522032.0,527639.0,541160.0
Marne,129,45,2,26,40,11,5,5234,1235,155,1044,1805,840,155,23,10,2,5,5,1,0,1569,440,138,357,427,207,0,383,158,108,30,87,0,0,1186,282,30,327,340,207,0,0,0,0,8,660,1831,5,172,522,566855,567462,568895,570883,572293,570866,570046,568795,566617,565357,566202,566074,566561,565910,565284,558276,543670,530454,485302,442108,415027.0,410214.0,412094.0,397680.0,366510.0,436213.0,433958.0,432755.0,439442.0,434579.0,429322.0,421590.0,407574.0
Martinique,46,17,0,4,17,7,1,2838,442,0,92,1622,667,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364508,368783,372594,376480,380877,383911,385551,388364,392291,394173,396404,397693,397730,397732,381427,359572,328566,324832,320030,292062,239130.0,13634.0,14042.0,14416.0,14484.0,16592.0,17170.0,17306.0,17680.0,18122.0,18632.0,18904.0,19244.0
Mayenne,57,18,3,16,18,2,0,1417,368,68,379,554,48,0,25,14,0,4,7,0,0,846,251,0,184,411,0,0,37,37,0,0,0,0,0,809,214,0,184,411,0,0,2,48,256,0,0,0,1,41,112,307062,307084,307445,307688,307940,307471,307500,307453,307031,306337,305147,302983,300643,299000,285338,278037,271784,261789,252762,250030,251522.0,251348.0,254479.0,259934.0,262447.0,297732.0,305457.0,313103.0,321187.0,332387.0,340063.0,344881.0,351933.0
Meurthe-et-Moselle,73,19,2,17,28,7,0,3277,596,135,748,1373,425,0,15,10,0,2,3,0,0,1030,352,0,290,388,0,0,124,34,0,85,5,0,0,906,318,0,205,383,0,0,0,0,0,8,831,1668,0,0,0,733760,733469,733481,733821,734403,732153,731004,733266,733124,732207,731019,729768,726592,725302,713779,711943,716964,722693,705554,678247,607192.0,576219.0,592803.0,552261.0,503989.0,564932.0,517716.0,484934.0,466654.0,444389.0,431946.0,419514.0,404849.0
Meuse,43,11,2,14,14,2,0,1006,170,66,427,278,65,0,28,16,1,7,4,0,0,2149,888,70,788,403,0,0,861,252,37,375,197,0,0,1288,636,33,413,206,0,0,0,0,0,0,0,0,2,30,132,184083,185355,187187,189055,190626,191530,192094,192800,193557,193923,194003,194218,193962,193696,192198,196223,199983,203799,209372,215816,206938.0,216737.0,215648.0,217957.0,207130.0,277753.0,280012.0,283268.0,290147.0,292014.0,291718.0,289632.0,293814.0
Morbihan,216,44,4,64,81,20,3,6245,689,125,1514,2495,1082,340,257,49,9,79,83,30,7,30074,1758,1037,8476,8848,7418,2537,6326,271,347,1474,2732,1175,327,23748,1487,690,7002,6116,6243,2210,18,1278,5393,19,1125,4602,6,277,928,759511,754699,750699,747382,744648,740890,737621,732219,726928,721505,716028,709878,702329,694665,643709,619684,590746,563436,540293,530611,520714.0,541922.0,537182.0,542810.0,545698.0,578035.0,572712.0,563108.0,551654.0,544091.0,534884.0,521264.0,506281.0
Moselle,129,41,3,28,41,15,1,5708,1177,195,1439,1903,966,28,38,16,2,7,11,2,0,5519,1077,499,1507,2038,398,0,3281,762,364,913,929,313,0,2238,315,135,594,1109,85,0,1,83,264,10,1556,6321,3,36,132,1046543,1043524,1043522,1045271,1044486,1045154,1046873,1046468,1045146,1045066,1044898,1042230,1039023,1036776,1023447,1011302,1007189,1006373,971314,919412,769388.0,696246.0,693408.0,633461.0,588834.0,609201.0,615426.0,565163.0,524879.0,510136.0,489476.0,492464.0,479997.0
Nièvre,66,18,6,21,18,3,0,1450,178,121,574,432,145,0,53,25,4,7,14,3,0,2865,912,110,293,1179,371,0,95,54,37,0,4,0,0,2770,858,73,293,1175,371,0,1,26,120,1,66,256,3,67,295,204452,205828,207182,209161,211747,213569,215221,216786,218341,219584,220199,220653,221488,222220,225198,233278,239635,245212,247702,245921,240078.0,249673.0,255195.0,260502.0,270148.0,299312.0,313972.0,323783.0,333899.0,343581.0,347645.0,347576.0,346822.0
Nord,224,59,7,32,97,26,3,12436,2602,295,1630,5482,2178,249,118,45,9,28,28,8,0,10854,2459,765,2294,3001,2335,0,8541,1844,667,2024,2001,2005,0,2313,615,98,270,1000,330,0,0,0,0,21,1598,4836,5,294,834,2608346,2606234,2604361,2603723,2605238,2603472,2595536,2587128,2579208,2576770,2571940,2564959,2564950,2565257,2555020,2531855,2520526,2511478,2418847,2294066,2099430.0,2022998.0,2029736.0,1969435.0,1788193.0,1962115.0,1896260.0,1867408.0,1812312.0,1736795.0,1670668.0,1603774.0,1520183.0
Oise,96,29,3,16,37,9,2,4850,1163,155,623,1808,901,200,30,7,2,12,9,0,0,2470,183,183,1259,845,0,0,1259,69,2,682,506,0,0,1211,114,181,577,339,0,0,1,14,28,2,239,765,0,0,0,829419,827153,824503,823542,821552,818680,815400,810300,805642,803595,801512,799725,796624,792975,766441,725603,661781,606320,540988,481289,435308.0,402569.0,407432.0,405971.0,387760.0,411028.0,410050.0,407808.0,404511.0,401835.0,403086.0,404555.0,401618.0
